ModuleId,keywords,module_name,description
MD001,APIGEE,WolfPro,APIGEE
MD002,Config_Service_Properties,WolfPro,Config_Service_Properties
MD003,WPS_Order_Creation_Negative_Scenarios,WolfPro,WPS_Order_Creation_Negative_Scenarios
MD004,WPS_Valid_Order_Creation,WolfPro,WPS_Valid_Order_Creation
MD005,WPS_Customer_Creation,WolfPro,WPS_Customer_Creation
MD006,WPS_Order_Deatils_From_BRIM,WolfPro,WPS_Order_Deatils_From_BRIM
MD007,WPS_Subscriptions with HpId & SubId,WolfPro,WPS_Subscriptions with HpId & SubId
MD008,WPS_Subscriptions with HpId & SubId_Negative_Scenarios,WolfPro,WPS_Subscriptions with HpId & SubId_Negative_Scenarios
MD009,WPS_ClientId_SubscriptionId_ContractAccount_SubAccount,WolfPro,WPS_ClientId_SubscriptionId_ContractAccount_SubAccount
MD010,WPS_Customer_Payment_History,WolfPro,WPS_Customer_Payment_History
MD011,WPS_All_Subscriptions_LicenseKey,WolfPro,WPS_All_Subscriptions_LicenseKey
MD012,WPS_Fetch_Subscription_HPID,WolfPro,WPS_Fetch_Subscription_HPID
MD013,WPS_Subscription_Auto_Renew_OFF/ON,WolfPro,WPS_Subscription_Auto_Renew_OFF/ON
MD014,WPS_Subscription_Auto_Renew_OFF/ON_Negative_Scenarios,WolfPro,WPS_Subscription_Auto_Renew_OFF/ON_Negative_Scenarios
MD015,WPS_Update_Addresses_Payment Method,WolfPro,WPS_Update_Addresses_Payment Method
MD016,WPS_Renewal-Inform-Invoice-Credit-Event-Trigger-AND-Email,WolfPro,WPS_Renewal-Inform-Invoice-Credit-Event-Trigger-AND-Email
MD017,WPS_Cancel_Subscription,WolfPro,WPS_Cancel_Subscription
MD018,WPS_Credit_Event_Email_Trigger,WolfPro,WPS_Credit_Event_Email_Trigger
MD019,WPS_Payment_Failure_Details,WolfPro,WPS_Payment_Failure_Details
MD020,WPS_ConfigService_fetch,WolfPro,WPS_ConfigService_fetch
MD021,WPS_Notifications_Country_Code,WolfPro,WPS_Notifications_Country_Code
MD022,WPS_Multiple_Language_Support,WolfPro,WPS_Multiple_Language_Support
Module016,Data_Parser_Subscription_Updates,WolfPro,Data_Parser_Subscription_Updates
Module016.1,Data_Parser_Subscription_Updates-For_Local_Run,WolfPro,Data_Parser_Subscription_Updates-For_Local_Run
Module017,DemoOrder_WolfPro,WolfPro,DemoOrder_WolfPro
Module018.01,SF_Order_Creation_API,SmartFriend,SF Order Creation
Module018.02,SF_BRIM_Contract_Subscription_Creation,SmartFriend,SF Order BRIM Validation
Module018.07,SF_Email_Events,SmartFriend,SF_Email_Events
Module018.03,SF_Cancel_CancelwithDateSubscription,SmartFriend,SF Order Cancellation
Module018.04,SF_OrderCreation_NegativeScenarios,SmartFriend,SF_OrderCreation_NegativeScenarios
Module018.06,Smartfriend_CancelWithDate_NegativeScenarios,SmartFriend,Smartfriend_CancelWithDate_NegativeScenarios
Module001,APIGEE_CP,Carepack,APIGEE_CP
Module027,CP_Order_Creation,Carepack,CP_Order_Creation
Module43.1,CP_All Email Events,Carepack,CP_All Email Events
Module43.2,CP_Cancellation_With_Fee,Carepack,CP_Cancellation_With_Fee
Module43.3,CP_Cancellation_Without_Fee,Carepack,CP_Cancellation_Without_Fee
Module027.2,CP_Auto_Renew_OFF_ON,Carepack,CP_Auto_Renew_OFF_ON
Module027.3,CP_Events_Renewal_Inform,Carepack,CP_Events_Renewal_Inform
Module028,CP_Update_Addresses_PaymentMethod,Carepack,CP_Update_Addresses_PaymentMethod
Module029,CP_Cancel_Subscription,Carepack,CP_Cancel_Subscription
Module027.1,CP_DCToggle,Carepack,CP_DCToggle
Module027.4,CP_OrderCreation_MultipleSKU,Carepack,CP_OrderCreation_MultipleSKU
Module43,CP_FalloutTable_OrderCreate,Carepack,CP_FalloutTable_OrderCreate
Modeule044,CP_Hardware_Update,Carepack,CP_Hardware_Update
Module001,APIGEE_CP,Carepack,APIGEE_CP
Module042.1,Calculation_CancellationFee,Carepack,Calculation_CancellationFee
Module042.2,CP_MultiOrder_Calculation_Cancellaion_Fee,Carepack,CP_MultiOrder_Calculation_Cancellaion_Fee
Module042.3,Get_CancellationFee_Fetch_Property,Carepack,Get_CancellationFee_Fetch_Property
Module042.4,Upload_CancellationFee_Delete_API,Carepack,Upload_CancellationFee_Delete_API
Module024.0,APIGEE_PO,PO,APIGEE_PO
Module024,PO_Order_New,PO,PO_Order_New
Module025,PO_Get_APIs_Subscription_BRIM_Payment,PO,PO_Get_APIs_Subscription_BRIM_Payment
Module017,Argon_Apigee,Argon,Argon_Apigee
Module018,Data_Parser_Argon_Apigee_NewEndpoint_OrderCreation,Argon,Data_Parser_Argon_Apigee_NewEndpoint_OrderCreation
Module018.1,Data_Parser_Argon_Apigee_NewEndpoint_OrderCreation-For_Local_Run,Argon,Data_Parser_Argon_Apigee_NewEndpoint_OrderCreation-For_Local_Run
Module018.2,Data_Parser_Argon_Apigee_NewEndpoint_StoreOrder_Recon,Argon,Data_Parser_Argon_Apigee_NewEndpoint_StoreOrder_Recon
Module018.3,Data_Parser_Argon_Apigee_NewEndpoint_StoreOrder_Recon-For_Local_Run,Argon,Data_Parser_Argon_Apigee_NewEndpoint_StoreOrder_Recon-For_Local_Run
Module019,Argon_Notifications_Country_Filter_POST_API,Argon,Argon_Notifications_Country_Filter_POST_API
Module019.1,Argon_Notifications_GET_API,Argon,Argon_Notifications_GET_API
Module020,Argon_Tenant_Create,Argon,Argon_Tenant_Create
Module021,Argon_Tenant_Update,Argon,Argon_Tenant_Update
Module000,Delete_Orders-MVP_Argon_DSP,DSP,Delete_Orders-MVP_Argon_DSP
MD0025,WEX_Order_Creation_Negative_Scenarios,WEX,WEX_Order_Creation_Negative_Scenarios
MD0020,WEX_Valid_Order_Creation,WEX,WEX_Valid_Order_Creation
MD0021,WEX_Customer_Verification,WEX,WEX_Customer_Verification
MD0022,WEX_BRIM_Contract_Subscription_Creation,WEX,WEX_BRIM_Contract_Subscription_Creation
MD0023,WEX_Subscriptions_withHpId_GET_API,WEX,WEX_Subscriptions_withHpId_GET_API
MD0024,WEX_PaymentsHistory_withHpId_SubId_GET_API,WEX,WEX_PaymentsHistory_withHpId_SubId_GET_API
MD001,CPSTD_Valid_Order_Creation,CPSTD,CPSTD_Valid_Order_Creation
MD002,CPSTD_Customer_Verification,CPSTD,CPSTD_Customer_Verification
MD003,CPSTD_Order_Deatils_From_BRIM,CPSTD,CPSTD_Order_Deatils_From_BRIM
MD004,CPSTD_Subscriptions with HpId & SubId,CPSTD,CPSTD_Subscriptions with HpId & SubId
MD005,CPSTD_Customer Payment History,CPSTD,CPSTD_Customer Payment History
MD006,CPSTD_Cancel_Subscription,CPSTD,CPSTD_Cancel_Subscription
MD007,CPSTD_Hardware_Update,CPSTD,CPSTD_Hardware_Update
MD008,CPSTD_Trigger All Email Events,CPSTD,CPSTD_Trigger All Email Events
